abbey street	None	 tuesday-2
abbotsford court	None	 tuesday-2
adamslaw place	None	 wednesday-1
albion place	None	 wednesday-1
albion road	None	 tuesday-1
albion terrace	None	 tuesday-1
alloway loan	None	 thursday-2
alva place	None	 thursday-2
appin terrace	None	 wednesday-1
arden street	None	 tuesday-2
armstrong road	None	 tuesday-1
ashley place	None	 tuesday-1
bain rigg	None	 friday-1
bain street	None	 friday-1
balfour place	None	 friday-2
ballantyne lane	None	 tuesday-2
bannerman cruick	None	 tuesday-2
bannerman terrace	None	 tuesday-2
barn park	None	 tuesday-2
barnie terrace	None	 tuesday-1
belhaven terrace	None	 friday-2
bethlehem way	None	 friday-2
blackwood crescent	None	 friday-1
boswall parkway	None	 wednesday-2
braid avenue	None	 tuesday-2
brandon terrace	None	 friday-1
bridge street	None	 tuesday-1
brighton street	None	 tuesday-1
broomhall drive	None	 tuesday-1
brougham place	None	 thursday-2
brougham street	None	 thursday-2
bruce street	None	 thursday-2
brunswick road	None	 thursday-2
brunswick street	None	 friday-1
brunton gardens	None	 thursday-2
brunton place	None	 thursday-2
brunton terrace	None	 thursday-2
bruntsfield gardens	None	 thursday-2
bryson road	None	 wednesday-1
buccleuch street	None	 wednesday-1
buchanan street	None	 wednesday-1
caledonian crescent	None	 thursday-1
caledonian place	None	 wednesday-2
caledonian road	None	 wednesday-1
cambusnethan street	None	 thursday-2
cannon wynd	None	 wednesday-1
captain's drive	None	 friday-1
carlyle place	None	 thursday-2
cathcart place	None	 thursday-2
chapel street	None	 friday-1
clark place	None	 tuesday-2
clifton terrace	None	 wednesday-1
cluny gardens	None	 wednesday-1
comely bank avenue	None	 tuesday-2
comely bank place	None	 wednesday-1
comely bank row	None	 thursday-1
comely bank terrace	None	 tuesday-2
comiston terrace	None	 wednesday-1
cowan's close	None	 wednesday-1
craigleith road	None	 friday-1
cuddy lane	None	 thursday-2
dalgety avenue	None	 tuesday-1
dalgety road	None	 thursday-2
dalgety street	None	 thursday-2
dalkeith road	None	 thursday-2
dalziel place	None	 friday-1
dean bank lane	None	 friday-1
dean park street	None	 friday-2
dickson street	None	 friday-2
drum brae south	None	 friday-2
duff street	None	 tuesday-2
duke street	None	 wednesday-1
east market street	None	 friday-2
east preston street	None	 friday-2
east scotland street lane	None	 friday-2
elgin terrace	None	 friday-1
essendean terrace	None	 thursday-1
falcon avenue	None	 wednesday-1
falcon court	None	 wednesday-1
falcon gardens	None	 wednesday-1
falcon road	None	 wednesday-1
falcon road west	None	 thursday-1
ferry road avenue	None	 tuesday-2
florence mcneill street	None	 friday-1
fowler terrace	None	 tuesday-2
gardner's crescent	None	 thursday-1
gillespie crescent	None	 tuesday-1
gilmour road	None	 wednesday-1
gladstone place	None	 wednesday-1
glen street	None	 friday-1
glengyle terrace	None	 friday-1
gorgie road	None	 thursday-1
gosford place	None	 tuesday-1
gospatric gardens	None	 tuesday-1
granby road	None	 friday-1
hamilton place	None	 tuesday-1
harrison gardens	None	 tuesday-1
hawthornvale	None	 wednesday-1
hermand crescent	None	 wednesday-1
hermiston house road	None	 tuesday-1
high street	None	 tuesday-2
hillside crescent	None	 tuesday-1
hillside street	None	 tuesday-1
hope street	None	 wednesday-1
howden hall road	None	 thursday-1
india place	None	 wednesday-1
iona street	None	 friday-1
john paul jones view	None	 thursday-2
kings view close	None	 friday-2
kirk street	None	 friday-2
lady menzies place	None	 thursday-1
laing terrace	None	 thursday-1
lauderdale street	None	 wednesday-1
leven close	None	 thursday-1
leven terrace	None	 wednesday-1
lindsay road	None	 friday-2
links gardens	None	 friday-2
lonsdale terrace	None	 tuesday-2
lorne place	None	 wednesday-2
madeira street	None	 wednesday-1
maidencraig court	None	 friday-1
marchmont crescent	None	 thursday-1
marchmont road	None	 tuesday-2
marchmont street	None	 tuesday-2
marischal place	None	 tuesday-1
mary's place	None	 tuesday-2
maryfield	None	 tuesday-1
matthew street	None	 tuesday-1
meadow place	None	 thursday-2
meadowbank crescent	None	 tuesday-2
meadowbank terrace	None	 wednesday-2
mertoun place	None	 thursday-1
milton street	None	 wednesday-2
monmouth terrace	None	 wednesday-2
montague street	None	 wednesday-2
montpelier park	None	 wednesday-2
montpelier terrace	None	 wednesday-2
montrose terrace	None	 wednesday-2
mortonhall park place	None	 friday-2
mossgiel walk	None	 friday-2
muirhouse grove	None	 wednesday-1
mulberry place	None	 friday-1
murieston crescent	None	 tuesday-1
murrayburn place	None	 tuesday-1
newbyth mews	None	 tuesday-2
newliston road inner lodge j & milrig b & south lodge e	None	 friday-1
newton street	None	 thursday-2
northfield avenue	None	 tuesday-2
ormiston terrace	None	 thursday-2
oxford street	None	 tuesday-2
panmure place	None	 tuesday-1
parsons green terrace	None	 thursday-2
peffer bank	None	 wednesday-1
perdrixknowe	None	 friday-1
perth street	None	 friday-1
pilton avenue	None	 friday-1
pilton drive	None	 thursday-2
